2theta Intensity
5.952139160268129503e-01 0.000000000000000000e+00
6.015387680369312928e-01 0.000000000000000000e+00
6.078636200470497464e-01 0.000000000000000000e+00
6.141884720571680889e-01 0.000000000000000000e+00
6.205133240672864314e-01 0.000000000000000000e+00
6.268381760774048850e-01 0.000000000000000000e+00
6.331630280875232275e-01 0.000000000000000000e+00
6.394878800976415700e-01 4.427642747759819031e-02
6.458127321077600236e-01 1.778109371662139893e-01
6.521375841178783661e-01 1.778109371662139893e-01
6.584624361279967086e-01 1.778109371662139893e-01
6.647872881381151622e-01 1.778109371662139893e-01
6.711121401482335047e-01 1.778109371662139893e-01
6.774369921583518472e-01 1.607977896928787231e-01
6.837618441684703008e-01 1.399442106485366821e-01
6.900866961785886433e-01 9.794729948043823242e-02
6.964115481887069858e-01 1.010065823793411255e-01
7.027364001988254394e-01 1.060170978307723999e-01
7.090612522089437819e-01 1.152209788560867310e-01
7.153861042190621244e-01 1.152209788560867310e-01
7.217109562291805780e-01 1.152209788560867310e-01
7.280358082392989205e-01 1.061258241534233093e-01
7.343606602494172630e-01 1.003641188144683838e-01
7.406855122595356056e-01 9.482476860284805298e-02
7.470103642696540591e-01 9.482476860284805298e-02
7.533352162797724016e-01 9.482476860284805298e-02
7.596600682898907442e-01 9.241978079080581665e-02
7.659849203000091977e-01 6.302049010992050171e-02
7.723097723101275403e-01 0.000000000000000000e+00
7.786346243202458828e-01 0.000000000000000000e+00
7.849594763303642253e-01 0.000000000000000000e+00
7.912843283404826789e-01 0.000000000000000000e+00
7.976091803506010214e-01 0.000000000000000000e+00
8.039340323607193639e-01 8.122437633574008942e-03
8.102588843708378175e-01 6.634819507598876953e-02
8.165837363809561600e-01 6.612971425056457520e-02
8.229085883910745025e-01 6.591421365737915039e-02
8.292334404011929561e-01 6.655571609735488892e-02
8.355582924113112986e-01 6.655571609735488892e-02
8.418831444214296411e-01 6.655571609735488892e-02
8.482079964315480947e-01 6.358163803815841675e-02
8.545328484416664372e-01 5.840075388550758362e-02
8.608577004517847797e-01 5.691830813884735107e-02
8.671825524619032333e-01 5.553826689720153809e-02
8.735074044720215758e-01 5.557877942919731140e-02
8.798322564821399183e-01 4.822331294417381287e-02
8.861571084922583719e-01 4.901760071516036987e-02
8.924819605023767144e-01 5.132308602333068848e-02
8.988068125124950569e-01 5.221841111779212952e-02
9.051316645226135105e-01 5.221841111779212952e-02
9.114565165327318530e-01 5.180751532316207886e-02
9.177813685428501955e-01 5.232629552483558655e-02
9.241062205529686491e-01 4.979832470417022705e-02
9.304310725630869916e-01 4.893345385789871216e-02
9.367559245732053341e-01 2.665353938937187195e-02
9.430807765833237877e-01 0.000000000000000000e+00
9.494056285934421302e-01 0.000000000000000000e+00
9.557304806035604727e-01 0.000000000000000000e+00
9.620553326136789263e-01 0.000000000000000000e+00
9.683801846237972688e-01 0.000000000000000000e+00
9.747050366339156113e-01 0.000000000000000000e+00
9.810298886440340649e-01 0.000000000000000000e+00
9.873547406541524074e-01 0.000000000000000000e+00
9.936795926642707499e-01 0.000000000000000000e+00
1.000004444674389203e+00 0.000000000000000000e+00
1.006329296684507657e+00 0.000000000000000000e+00
1.012654148694625889e+00 0.000000000000000000e+00
1.018979000704744342e+00 0.000000000000000000e+00
1.025303852714862796e+00 0.000000000000000000e+00
1.031628704724981027e+00 0.000000000000000000e+00
1.037953556735099481e+00 0.000000000000000000e+00
1.044278408745217712e+00 0.000000000000000000e+00
1.050603260755336166e+00 0.000000000000000000e+00
1.056928112765454619e+00 3.278745338320732117e-02
1.063252964775572851e+00 6.132171303033828735e-02
1.069577816785691304e+00 6.758407503366470337e-02
1.075902668795809758e+00 6.664724647998809814e-02
1.082227520805927989e+00 6.850364804267883301e-02
1.088552372816046443e+00 6.671105325222015381e-02
1.094877224826164896e+00 6.635439395904541016e-02
1.101202076836283350e+00 8.920273184776306152e-02
